¡ˆ¡°,¿œΩ√,∆Ú±’ ¿ÃªÍ»≠≈∫º“(CO2) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ∏ﬁ≈∫(CH4) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ æ∆ªÍ»≠¡˙º“(N2O) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“11(CFC11) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“12(CFC12) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ø∞»≠∫“»≠≈∫º“113(CFC113) πË∞Ê¥Î±‚≥Ûµµ(ppm),∆Ú±’ ¿∞∫“»≠»≤(SF6) πË∞Ê¥Î±‚≥Ûµµ(ppm)
115,2021-01,422.906345580352,1998.36590399762,334.7291701,,,,10.7708045114231
115,2021-02,424.383796273015,2003.56740623247,334.7391025,,,,10.8371986458841
115,2021-03,423.666713569656,2000.01423845512,335.0107544,,,,10.8859959745785
115,2021-04,424.759172218454,1986.62922946299,335.2866007,,,,10.9649389728866
115,2021-05,423.870965017364,1989.84360311354,335.4071438,,,,11.1636966961137
115,2021-06,417.422539382425,1980.08721836345,335.6028861,,,,11.3664677740264
115,2021-07,414.089510787595,1930.39574553805,335.360812,,,,11.1680320831508
115,2021-08,414.641890050054,1951.51681266668,335.1592206,,,,11.1461017534155
115,2021-09,416.284847755517,1999.15504259866,335.2120556,,,,10.9934536837524
115,2021-10,420.3478770194,1997.48587972268,335.3980973,,,,11.0815408827067
115,2021-11,423.207627211122,2006.99885904744,335.8079909,,,,11.1874962997371
115,2021-12,424.166036693365,2017.30707354451,335.8498997,,,,11.1177106426813
