시도,시군구,읍면동,피해유형,피해인구,피해시작일,피해종료일
강원도,영월군,중동면,운반급수,14,2009-01-13,2009-02-10
경상남도,의령군,봉수면,제한급수,62,2009-01-13,2009-03-10
경상남도,의령군,궁류면,제한급수,96,2009-01-15,2009-02-25
경상북도,의성군,점곡면,운반급수,78,2009-01-16,2009-02-26
강원도,영월군,중동면,운반급수,20,2009-01-17,2009-02-10
강원도,영월군,중동면,운반급수,20,2009-01-17,2009-02-10
경상남도,의령군,가례면,제한급수,129,2009-01-19,2009-02-28
경상남도,의령군,낙서면,제한급수,158,2009-01-20,2009-03-08
경상북도,의성군,안사면,운반급수,50,2009-01-23,2009-01-31
경상북도,의성군,단촌면,운반급수,88,2009-01-23,2009-01-31
경상남도,의령군,지정면,제한급수,53,2009-01-23,2009-02-26
경상북도,의성군,사곡면,운반급수,72,2009-02-04,2009-02-16
경상북도,영덕군,영덕읍,제한급수,381,2009-02-11,2009-04-15
경상북도,영덕군,남정면,제한급수,152,2009-02-11,2009-04-15
경상북도,영덕군,강구면,제한급수,229,2009-02-11,2009-04-15
강원도,영월군,남면,운반급수,20,2009-02-12,2009-02-26
경상북도,의성군,봉양면,운반급수,68,2009-02-27,2009-03-16
전라남도,진도군,조도면,운반급수,20,2009-05-01,
전라남도,진도군,진도읍,운반급수,32,2009-05-01,
전라남도,진도군,조도면,운반급수,11,2009-05-01,
전라남도,진도군,조도면,운반급수,6,2009-05-01,
전라남도,진도군,조도면,운반급수,18,2009-05-01,
전라남도,진도군,조도면,운반급수,16,2009-05-01,
전라남도,진도군,조도면,운반급수,18,2009-05-01,
전라남도,진도군,조도면,운반급수,20,2009-05-01,
전라남도,진도군,지산면,운반급수,2,2009-05-01,
전라남도,진도군,조도면,운반급수,48,2009-05-01,
전라남도,진도군,조도면,운반급수,3,2009-05-01,
전라남도,진도군,조도면,운반급수,27,2009-05-01,
전라남도,진도군,조도면,운반급수,17,2009-05-01,
전라남도,진도군,조도면,운반급수,2,2009-05-01,
전라남도,진도군,조도면,운반급수,8,2009-05-01,
전라남도,진도군,조도면,운반급수,19,2009-05-01,
전라남도,진도군,조도면,제한급수,76,2009-05-01,
전라남도,진도군,조도면,운반급수,12,2009-05-01,
전라남도,진도군,조도면,운반급수,3,2009-05-01,
전라남도,진도군,조도면,운반급수,12,2009-05-01,
전라남도,진도군,조도면,운반급수,19,2009-05-01,
전라남도,진도군,조도면,운반급수,3,2009-05-01,
전라남도,완도군,보길면,제한급수,1800,2009-11-02,2010-04-04
전라남도,완도군,노화읍,제한급수,1500,2009-11-02,2010-04-04
전라남도,완도군,청산면,제한급수,1200,2009-11-16,2010-02-15
전라남도,완도군,금일읍,제한급수,1200,2009-12-28,2010-03-18
전라남도,완도군,노화읍,제한급수,1500,2010-01-01,2010-04-04
경상북도,의성군,안사면,운반급수,66,2010-01-22,2010-01-31
경상북도,의성군,사곡면,운반급수,88,2010-02-12,2010-02-28
전라북도,장수군,천천면,운반급수,90,2010-06-05,2010-06-10
경상북도,의성군,옥산면,운반급수,76,2010-08-02,2010-09-10
전라남도,완도군,노화읍,제한급수,1500,2010-11-15,2011-07-03
전라남도,완도군,보길면,제한급수,1800,2010-11-15,2011-07-03
경상북도,의성군,춘산면,운반급수,160,2010-12-06,2010-12-28
강원도,정선군,임계면,운반급수,23,2010-12-23,2011-01-20
강원도,삼척시,원덕읍,운반급수,57,2011-01-01,2011-01-20
강원도,삼척시,노곡면,운반급수,80,2011-01-01,2011-01-20
강원도,삼척시,미로면,운반급수,130,2011-01-01,2011-01-20
강원도,삼척시,하장면,운반급수,99,2011-01-02,2011-01-20
강원도,삼척시,도계읍,운반급수,21,2011-01-02,2011-01-20
경기도,광주시,남종면,운반급수,25,2011-01-07,2011-02-28
강원도,정선군,여량면,운반급수,2,2011-01-08,2011-01-20
강원도,화천군,하남면,운반급수,58,2011-01-08,2011-01-20
경기도,광주시,퇴촌면,운반급수,59,2011-01-13,2011-06-17
강원도,원주시,문막읍,운반급수,42,2011-01-14,2011-01-20
강원도,원주시,문막읍,운반급수,95,2011-01-14,2011-01-20
강원도,원주시,신림면,운반급수,71,2011-01-14,2011-01-20
강원도,정선군,임계면,운반급수,22,2011-01-15,2011-01-20
강원도,삼척시,원덕읍,운반급수,135,2011-01-16,2011-01-20
강원도,인제군,인제읍,운반급수,352,2011-01-16,2011-01-20
강원도,원주시,소초면,운반급수,119,2011-01-16,2011-01-20
강원도,삼척시,근덕면,운반급수,73,2011-01-16,2011-01-20
강원도,원주시,신림면,운반급수,103,2011-01-16,2011-01-20
강원도,삼척시,가곡면,운반급수,99,2011-01-17,2011-01-20
강원도,삼척시,가곡면,운반급수,93,2011-01-17,2011-01-20
강원도,정선군,신동읍,운반급수,4,2011-01-17,2011-01-20
강원도,인제군,남면,운반급수,59,2011-01-17,2011-01-20
강원도,정선군,남면,운반급수,50,2011-01-17,2011-01-20
경기도,광주시,퇴촌면,운반급수,55,2011-01-17,2011-06-21
강원도,삼척시,신기면,운반급수,99,2011-01-17,2011-01-20
강원도,삼척시,하장면,운반급수,80,2011-01-17,2011-01-20
강원도,인제군,상남면,운반급수,250,2011-01-17,2011-01-20
강원도,정선군,남면,운반급수,45,2011-01-17,2011-01-20
강원도,정선군,고한읍,운반급수,4,2011-01-17,2011-01-20
강원도,삼척시,하장면,운반급수,25,2011-01-18,2011-01-20
강원도,원주시,문막읍,운반급수,139,2011-01-18,2011-01-20
강원도,삼척시,신기면,운반급수,199,2011-01-18,2011-01-20
강원도,정선군,남면,운반급수,20,2011-01-18,2011-01-20
경기도,광주시,퇴촌면,운반급수,83,2011-01-18,2011-06-21
강원도,인제군,서화면,운반급수,22,2011-01-18,2011-01-20
강원도,횡성군,서원면,운반급수,381,2011-01-19,2011-01-20
강원도,정선군,임계면,운반급수,114,2011-01-19,2011-01-20
강원도,횡성군,청일면,운반급수,60,2011-01-20,2011-01-20
경기도,광주시,곤지암읍,운반급수,33,2011-01-21,2011-02-16
울산광역시,북구,강동동,운반급수,54,2011-01-25,2011-01-25
전라남도,완도군,금일읍,제한급수,1200,2011-03-21,2011-04-14
경상북도,안동시,서후면,운반급수,200,2011-09-11,2011-09-11
전라남도,완도군,노화읍,제한급수,391,2011-10-14,2012-04-25
전라남도,완도군,노화읍,제한급수,1350,2011-10-31,2012-04-02
전라남도,완도군,보길면,제한급수,1800,2011-10-31,2012-04-02
경기도,광주시,퇴촌면,운반급수,59,2012-01-09,2012-06-29
전라남도,완도군,청산면,제한급수,1200,2012-01-30,2012-03-25
전라북도,장수군,장수읍,운반급수,117,2012-05-30,2012-06-10
전라북도,장수군,장수읍,운반급수,379,2012-05-30,2012-06-10
충청북도,옥천군,군북면,운반급수,30,2012-05-30,2012-06-25
충청남도,예산군,봉산면,운반급수,75,2012-05-31,2012-05-31
충청남도,예산군,대술면,운반급수,198,2012-05-31,2012-05-31
충청남도,보령시,청소면,제한급수,132,2012-06-01,2012-06-20
충청남도,보령시,주교면,제한급수,284,2012-06-04,2012-06-20
충청북도,옥천군,안내면,운반급수,165,2012-06-04,2012-07-06
충청북도,옥천군,안내면,운반급수,119,2012-06-05,2012-07-06
강원도,홍천군,남면,운반급수,46,2012-06-05,2012-06-24
충청북도,옥천군,안내면,운반급수,30,2012-06-05,2012-07-06
충청북도,옥천군,군북면,운반급수,21,2012-06-05,2012-06-22
강원도,원주시,문막읍,운반급수,95,2012-06-06,2012-06-24
경기도,광주시,퇴촌면,운반급수,83,2012-06-07,2012-06-29
경기도,광주시,남종면,운반급수,10,2012-06-07,2012-06-29
강원도,영월군,북면,운반급수,110,2012-06-08,2012-06-30
강원도,영월군,김삿갓면,운반급수,36,2012-06-08,2012-06-30
강원도,영월군,영월읍,운반급수,66,2012-06-08,2012-06-30
강원도,영월군,한반도면,운반급수,48,2012-06-08,2012-06-30
강원도,영월군,김삿갓면,운반급수,25,2012-06-08,2012-06-30
충청북도,제천시,청풍면,운반급수,20,2012-06-08,2012-07-01
충청북도,옥천군,안내면,운반급수,20,2012-06-08,2012-07-02
강원도,영월군,김삿갓면,운반급수,81,2012-06-08,2012-06-30
전라북도,정읍시,산외면,운반급수,32,2012-06-15,2012-06-15
충청북도,제천시,덕산면,운반급수,93,2012-06-19,2012-06-22
충청북도,제천시,봉양읍,운반급수,100,2012-06-20,2012-07-01
충청북도,제천시,봉양읍,운반급수,21,2012-06-20,2012-07-01
충청북도,충주시,동량면,운반급수,32,2012-06-20,2012-06-30
충청북도,괴산군,청안면,제한급수,70,2012-06-21,2012-07-05
충청북도,충주시,교현·안림동,운반급수,24,2012-06-21,2012-06-30
충청북도,괴산군,감물면,제한급수,18,2012-06-21,2012-07-05
강원도,정선군,임계면,운반급수,64,2012-06-21,2012-06-24
경기도,광주시,곤지암읍,운반급수,33,2012-06-22,2012-06-29
전라북도,임실군,강진면,운반급수,24,2012-06-22,2012-06-27
전라북도,임실군,강진면,운반급수,50,2012-06-22,2012-06-27
충청남도,예산군,광시면,운반급수,75,2012-06-22,2012-06-22
강원도,화천군,간동면,운반급수,66,2012-06-22,2012-06-24
충청북도,충주시,앙성면,운반급수,56,2012-06-22,2012-07-03
충청남도,예산군,봉산면,운반급수,30,2012-06-22,2012-06-22
충청남도,예산군,봉산면,운반급수,35,2012-06-22,2012-06-22
충청남도,예산군,봉산면,운반급수,53,2012-06-22,2012-06-22
충청남도,예산군,예산읍,운반급수,15,2012-06-22,2012-06-22
충청남도,예산군,예산읍,운반급수,87,2012-06-22,2012-06-22
강원도,홍천군,두촌면,운반급수,45,2012-06-23,2012-06-24
강원도,춘천시,북산면,운반급수,65,2012-06-24,2012-06-24
충청북도,제천시,수산면,운반급수,68,2012-06-24,2012-07-01
전라북도,정읍시,입암면,운반급수,45,2012-07-04,2012-07-04
전라북도,정읍시,태인면,운반급수,35,2012-07-04,2012-07-04
전라북도,정읍시,신태인읍,운반급수,25,2012-07-04,2012-07-04
전라북도,정읍시,신태인읍,운반급수,17,2012-07-04,2012-07-04
전라북도,정읍시,입암면,운반급수,63,2012-07-04,2012-07-04
전라북도,정읍시,입암면,운반급수,31,2012-07-04,2012-07-04
전라북도,정읍시,산외면,운반급수,79,2012-07-04,2012-07-04
전라북도,정읍시,산외면,운반급수,32,2012-07-04,2012-07-04
전라북도,정읍시,산외면,운반급수,63,2012-07-04,2012-07-04
경상북도,안동시,도산면,운반급수,30,2012-08-22,2012-08-22
전라남도,여수시,화정면,운반급수,82,2012-12-05,2012-12-13
경기도,광주시,퇴촌면,운반급수,59,2013-01-10,2013-06-17
경기도,안성시,공도읍,제한급수,80,2013-02-07,2013-03-05
경상북도,울진군,북면,제한급수,131,2013-07-25,2013-09-30
경기도,안성시,죽산면,제한급수,124,2013-07-30,2013-09-04
경상북도,울진군,북면,제한급수,362,2013-08-05,2013-09-30
경상북도,안동시,풍천면,운반급수,37,2013-08-07,2013-08-07
경상북도,안동시,도산면,운반급수,32,2013-08-09,2013-08-09
전라남도,강진군,성전면,제한급수,243,2013-08-10,2013-08-14
전라남도,강진군,대구면,제한급수,86,2013-08-10,2013-08-20
전라남도,강진군,신전면,제한급수,342,2013-08-11,2013-08-15
울산광역시,북구,송정동,운반급수,243,2013-08-12,2013-08-12
경상북도,경주시,내남면,운반급수,108,2013-08-19,2013-08-20
경상남도,통영시,욕지면,운반급수,193,2013-08-20,2013-12-21
전라남도,완도군,금일읍,제한급수,1200,2013-09-01,2014-05-31
전라남도,완도군,노화읍,제한급수,391,2013-09-06,2014-09-04
전라남도,완도군,청산면,제한급수,1560,2013-09-22,2014-04-25
경기도,안성시,금광면,제한급수,40,2013-10-02,2013-10-31
경상남도,남해군,이동면,제한급수,1667,2013-10-23,2013-12-31
경상남도,남해군,남해읍,제한급수,11631,2013-12-01,2013-12-31
전라남도,완도군,보길면,제한급수,1800,2013-12-02,2014-05-04
전라남도,완도군,노화읍,제한급수,1500,2013-12-02,2014-05-04
경상북도,안동시,일직면,운반급수,71,2013-12-13,2013-12-13
경상남도,남해군,이동면,제한급수,2412,2014-01-01,2014-03-20
경상남도,통영시,욕지면,운반급수,193,2014-01-03,2014-03-25
경기도,가평군,청평면,운반급수,25,2014-01-04,2014-07-12
충청남도,금산군,남일면,운반급수,200,2014-01-07,2014-01-07
경상남도,남해군,남면,제한급수,3233,2014-01-10,2014-03-17
경기도,광주시,퇴촌면,운반급수,59,2014-01-13,2014-07-22
경기도,가평군,청평면,운반급수,45,2014-01-13,2014-07-11
경기도,가평군,설악면,운반급수,42,2014-01-14,2014-07-12
충청남도,금산군,남이면,운반급수,120,2014-01-27,2014-01-27
전라남도,완도군,약산면,제한급수,2461,2014-02-03,2014-05-25
전라남도,완도군,고금면,제한급수,4258,2014-02-03,2014-05-25
경상남도,남해군,고현면,제한급수,1618,2014-02-15,2014-03-17
경상남도,남해군,미조면,제한급수,2767,2014-02-17,2014-03-17
충청남도,금산군,부리면,운반급수,60,2014-03-15,2014-07-01
경기도,가평군,상면,운반급수,160,2014-03-20,2014-04-05
경기도,가평군,상면,운반급수,200,2014-03-20,2014-07-12
전라남도,완도군,청산면,제한급수,1050,2014-04-01,2014-05-16
경기도,가평군,조종면,운반급수,70,2014-04-23,2014-07-12
충청남도,금산군,군북면,운반급수,60,2014-05-01,2014-05-18
경기도,가평군,설악면,운반급수,100,2014-05-02,2014-07-12
강원도,홍천군,서면,운반급수,30,2014-05-05,2014-05-15
인천광역시,중구,용유동,운반급수,150,2014-05-09,2014-12-11
경기도,가평군,청평면,운반급수,114,2014-05-10,2014-07-11
경기도,가평군,상면,운반급수,100,2014-05-17,2015-05-19
경기도,가평군,북면,운반급수,20,2014-05-24,2014-07-12
경기도,광주시,곤지암읍,운반급수,71,2014-05-26,2014-06-19
강원도,영월군,영월읍,운반급수,14,2014-05-27,2014-05-27
경기도,광주시,퇴촌면,운반급수,83,2014-05-30,2014-07-22
강원도,화천군,간동면,운반급수,22,2014-06-01,2014-08-18
경기도,가평군,청평면,운반급수,51,2014-06-03,2014-07-12
강원도,평창군,대화면,운반급수,68,2014-06-05,2014-08-18
강원도,영월군,김삿갓면,운반급수,30,2014-06-05,2014-06-12
강원도,영월군,김삿갓면,운반급수,30,2014-06-05,2014-06-12
강원도,홍천군,홍천읍,운반급수,17,2014-06-05,2014-06-10
인천광역시,강화군,화도면,제한급수,180,2014-06-05,2014-07-28
강원도,영월군,남면,운반급수,3,2014-06-07,2014-06-07
경기도,가평군,조종면,운반급수,30,2014-06-08,2014-12-30
전라북도,부안군,위도면,운반급수,100,2014-06-12,2014-06-20
충청남도,금산군,남이면,운반급수,120,2014-06-16,2014-07-21
경기도,가평군,청평면,운반급수,20,2014-06-17,2014-07-12
경기도,가평군,북면,운반급수,40,2014-06-22,2014-12-17
충청북도,보은군,마로면,운반급수,17,2014-06-23,2014-07-17
충청북도,영동군,학산면,운반급수,66,2014-06-27,2014-07-03
경상북도,안동시,일직면,운반급수,9,2014-06-30,2014-06-30
경상북도,영양군,영양읍,운반급수,6,2014-07-01,2014-07-26
경기도,가평군,청평면,운반급수,70,2014-07-08,2014-07-15
경기도,가평군,북면,운반급수,70,2014-07-08,2014-07-09
경상북도,안동시,일직면,운반급수,14,2014-07-09,2014-07-09
강원도,인제군,남면,운반급수,50,2014-07-11,2014-08-18
경기도,가평군,청평면,운반급수,150,2014-07-11,2014-07-15
경기도,가평군,청평면,운반급수,80,2014-07-12,2014-07-18
강원도,화천군,하남면,운반급수,35,2014-07-12,2014-08-18
강원도,인제군,남면,운반급수,35,2014-07-12,2014-08-18
경상북도,영양군,입암면,운반급수,20,2014-07-13,2014-07-30
강원도,춘천시,서면,운반급수,191,2014-07-14,2014-08-18
충청북도,단양군,영춘면,운반급수,117,2014-07-16,2014-07-18
충청북도,충주시,앙성면,운반급수,56,2014-07-16,2014-08-06
충청북도,충주시,동량면,운반급수,65,2014-07-16,2014-07-23
강원도,화천군,하남면,운반급수,165,2014-07-16,2014-08-18
강원도,화천군,상서면,운반급수,112,2014-07-17,2014-08-18
강원도,화천군,하남면,운반급수,79,2014-07-17,2014-08-18
강원도,화천군,상서면,운반급수,70,2014-07-17,2014-08-18
강원도,화천군,하남면,운반급수,250,2014-07-17,2014-08-18
강원도,화천군,간동면,운반급수,95,2014-07-17,2014-08-18
강원도,화천군,사내면,운반급수,72,2014-07-17,2014-08-18
강원도,원주시,판부면,운반급수,102,2014-07-18,2014-08-18
강원도,화천군,사내면,운반급수,43,2014-07-18,2014-08-18
강원도,화천군,간동면,운반급수,20,2014-07-18,2014-08-18
강원도,화천군,하남면,운반급수,52,2014-07-18,2014-08-18
강원도,평창군,용평면,운반급수,30,2014-07-20,2014-08-18
강원도,화천군,상서면,운반급수,78,2014-07-20,2014-08-18
강원도,평창군,대화면,운반급수,60,2014-07-20,2014-08-18
강원도,화천군,사내면,운반급수,206,2014-07-20,2014-08-18
강원도,평창군,진부면,운반급수,60,2014-07-21,2014-08-18
강원도,평창군,미탄면,운반급수,24,2014-07-21,2014-08-18
충청남도,금산군,진산면,운반급수,140,2014-07-21,2014-07-21
강원도,원주시,단구동,운반급수,70,2014-07-21,2014-08-18
경상북도,의성군,사곡면,운반급수,52,2014-07-21,2014-08-04
강원도,홍천군,서면,운반급수,7,2014-07-22,2014-07-22
강원도,홍천군,남면,운반급수,15,2014-07-22,2014-07-25
강원도,평창군,방림면,운반급수,122,2014-07-22,2014-08-18
경상북도,영양군,입암면,운반급수,35,2014-07-27,2014-07-31
강원도,삼척시,가곡면,운반급수,60,2014-07-28,2014-08-18
경상북도,울진군,울진읍,제한급수,12,2014-07-28,2014-08-04
경상북도,울진군,북면,운반급수,15,2014-07-28,2014-08-04
강원도,평창군,진부면,운반급수,51,2014-07-28,2014-08-18
경상북도,안동시,녹전면,운반급수,37,2014-07-29,2014-09-30
경상북도,울진군,북면,제한급수,140,2014-07-30,2014-08-04
강원도,삼척시,원덕읍,운반급수,50,2014-07-31,2014-08-18
충청남도,금산군,부리면,운반급수,60,2014-07-31,2014-08-01
경상북도,의성군,옥산면,운반급수,203,2014-07-31,2014-08-01
경상북도,안동시,임하면,운반급수,40,2014-08-01,2014-08-01
충청북도,영동군,양산면,운반급수,12,2014-08-01,2014-08-06
충청북도,제천시,수산면,운반급수,50,2014-08-01,2014-08-06
경상북도,안동시,임동면,운반급수,26,2014-08-21,2014-08-21
경상북도,안동시,와룡면,운반급수,57,2014-09-07,2014-09-07
경상북도,안동시,와룡면,운반급수,46,2014-09-07,2014-09-07
경상북도,안동시,북후면,운반급수,115,2014-09-09,2014-09-09
경상북도,예천군,효자면,운반급수,9,2014-10-01,2015-06-30
인천광역시,옹진군,연평면,운반급수,126,2014-11-18,2014-11-27
인천광역시,옹진군,연평면,운반급수,282,2014-11-18,2014-11-18
강원도,춘천시,서면,운반급수,39,2014-12-01,2015-06-26
인천광역시,옹진군,북도면,운반급수,123,2014-12-09,2014-12-09
강원도,화천군,하남면,운반급수,165,2014-12-19,2015-02-22
강원도,화천군,하남면,운반급수,250,2014-12-29,2015-02-22
경기도,가평군,북면,운반급수,70,2015-01-01,2015-07-03
경기도,가평군,조종면,운반급수,30,2015-01-02,2015-07-07
경기도,가평군,북면,운반급수,40,2015-01-03,2015-07-06
경기도,가평군,청평면,운반급수,114,2015-01-05,2015-07-07
강원도,평창군,미탄면,운반급수,30,2015-01-05,2015-02-17
강원도,평창군,대화면,운반급수,68,2015-01-05,2015-04-03
경기도,가평군,북면,운반급수,20,2015-01-08,2015-02-12
경기도,광주시,퇴촌면,운반급수,59,2015-01-13,2015-07-20
인천광역시,옹진군,자월면,운반급수,71,2015-01-14,2015-01-14
인천광역시,중구,용유동,운반급수,130,2015-01-14,2015-07-10
경기도,가평군,청평면,운반급수,51,2015-01-21,2015-07-06
경상북도,안동시,도산면,운반급수,40,2015-01-23,2015-01-23
인천광역시,옹진군,대청면,운반급수,226,2015-01-23,2015-12-31
인천광역시,강화군,길상면,제한급수,5,2015-01-28,2015-07-13
인천광역시,옹진군,북도면,운반급수,123,2015-02-02,2015-11-06
경상북도,안동시,임동면,운반급수,6,2015-02-09,2015-02-09
경기도,가평군,상면,운반급수,200,2015-02-10,2015-05-25
인천광역시,옹진군,대청면,운반급수,325,2015-02-10,2015-07-27
강원도,인제군,남면,운반급수,11,2015-02-10,2015-02-22
경기도,가평군,설악면,운반급수,36,2015-02-12,2015-03-17
경기도,가평군,북면,운반급수,45,2015-02-16,2015-06-04
경상북도,안동시,임동면,운반급수,25,2015-02-16,2015-02-16
강원도,양구군,양구읍,제한급수,65,2015-02-20,2015-06-26
인천광역시,중구,용유동,운반급수,130,2015-03-02,2015-11-17
강원도,원주시,신림면,운반급수,30,2015-03-02,2015-04-03
강원도,원주시,소초면,운반급수,97,2015-03-02,2015-04-03
경기도,가평군,청평면,운반급수,110,2015-03-09,2015-06-06
강원도,양구군,남면,제한급수,25,2015-03-10,2015-06-26
인천광역시,강화군,양사면,제한급수,225,2015-03-10,2015-09-07
경기도,가평군,상면,운반급수,100,2015-03-15,2015-03-16
인천광역시,강화군,삼산면,제한급수,107,2015-03-20,2015-09-07
경기도,가평군,조종면,운반급수,70,2015-03-26,2015-07-07
인천광역시,강화군,서도면,운반급수,58,2015-03-30,2015-07-13
강원도,횡성군,청일면,운반급수,60,2015-04-30,2015-06-26
충청북도,단양군,어상천면,운반급수,7,2015-05-02,2015-06-08
인천광역시,강화군,강화읍,제한급수,75,2015-05-11,2015-07-27
인천광역시,강화군,화도면,제한급수,125,2015-05-15,2015-07-13
인천광역시,강화군,내가면,제한급수,275,2015-05-15,2016-02-18
인천광역시,강화군,화도면,제한급수,100,2015-05-15,2015-07-13
인천광역시,강화군,화도면,제한급수,120,2015-05-18,2015-07-13
인천광역시,강화군,불은면,제한급수,40,2015-05-20,2015-07-27
인천광역시,옹진군,북도면,운반급수,330,2015-05-20,2015-09-18
인천광역시,옹진군,북도면,운반급수,220,2015-05-20,2015-05-20
인천광역시,옹진군,북도면,운반급수,169,2015-05-20,2015-09-07
경상북도,울진군,금강송면,운반급수,18,2015-05-22,2015-06-26
인천광역시,강화군,양도면,제한급수,37,2015-05-22,2015-07-13
충청북도,영동군,양산면,운반급수,12,2015-05-23,2015-06-26
충청북도,충주시,금가면,운반급수,171,2015-05-24,2015-06-26
강원도,삼척시,가곡면,운반급수,60,2015-05-26,2015-06-26
강원도,삼척시,미로면,운반급수,65,2015-05-26,2015-06-26
강원도,동해시,망상동,운반급수,160,2015-05-27,2015-06-26
강원도,강릉시,구정면,제한급수,193,2015-05-29,2015-06-25
충청북도,충주시,동량면,운반급수,65,2015-05-29,2015-06-26
경상북도,봉화군,재산면,운반급수,40,2015-05-30,2015-06-22
강원도,정선군,임계면,운반급수,24,2015-05-30,2015-06-26
강원도,강릉시,옥계면,제한급수,7,2015-06-01,2015-06-16
강원도,강릉시,강동면,제한급수,46,2015-06-01,2015-06-16
경상북도,울진군,울진읍,제한급수,50,2015-06-01,2015-06-26
강원도,춘천시,남산면,운반급수,100,2015-06-01,2015-06-26
강원도,춘천시,서면,운반급수,18,2015-06-01,2015-06-26
경상북도,울진군,매화면,제한급수,28,2015-06-01,2015-06-09
인천광역시,강화군,송해면,제한급수,67,2015-06-01,2015-09-18
강원도,강릉시,연곡면,제한급수,52,2015-06-01,2015-06-25
경기도,가평군,설악면,운반급수,50,2015-06-01,2015-07-07
강원도,화천군,상서면,운반급수,210,2015-06-01,2015-07-12
경기도,가평군,청평면,운반급수,20,2015-06-01,2015-07-07
경상북도,울진군,울진읍,제한급수,12,2015-06-01,2015-06-26
전라북도,무주군,부남면,운반급수,77,2015-06-01,2015-06-02
강원도,화천군,하남면,운반급수,35,2015-06-01,2015-07-12
강원도,삼척시,미로면,운반급수,182,2015-06-02,2015-06-26
강원도,인제군,남면,운반급수,10,2015-06-02,2015-10-19
인천광역시,강화군,송해면,제한급수,150,2015-06-03,2015-07-27
인천광역시,강화군,송해면,제한급수,135,2015-06-03,2015-07-27
인천광역시,강화군,하점면,제한급수,200,2015-06-03,2015-07-27
인천광역시,옹진군,연평면,운반급수,1361,2015-06-04,2015-11-04
경상북도,울진군,북면,제한급수,54,2015-06-04,2015-06-26
경상북도,울진군,기성면,제한급수,62,2015-06-04,2015-06-26
경상북도,울진군,금강송면,제한급수,33,2015-06-04,2015-06-26
충청북도,단양군,가곡면,운반급수,10,2015-06-04,2015-06-22
경상북도,울진군,기성면,제한급수,10,2015-06-04,2015-06-26
경상북도,울진군,북면,제한급수,69,2015-06-04,2015-06-26
경상북도,울진군,기성면,제한급수,17,2015-06-04,2015-06-26
충청북도,단양군,영춘면,운반급수,23,2015-06-05,2015-06-26
경상북도,봉화군,석포면,운반급수,21,2015-06-06,2015-06-21
강원도,영월군,김삿갓면,운반급수,25,2015-06-07,2015-06-26
강원도,평창군,평창읍,운반급수,110,2015-06-09,2015-06-26
경상북도,울진군,기성면,운반급수,17,2015-06-09,2015-06-26
강원도,평창군,미탄면,운반급수,24,2015-06-09,2015-06-26
강원도,평창군,대화면,운반급수,60,2015-06-09,2015-06-26
전라북도,무주군,적상면,운반급수,55,2015-06-10,2015-06-25
인천광역시,강화군,화도면,제한급수,200,2015-06-11,2015-07-13
인천광역시,강화군,양도면,제한급수,125,2015-06-11,2015-07-13
인천광역시,강화군,양도면,제한급수,105,2015-06-11,2015-07-13
인천광역시,강화군,내가면,제한급수,100,2015-06-11,2015-07-27
인천광역시,강화군,양도면,제한급수,200,2015-06-11,2015-07-13
경상북도,봉화군,명호면,운반급수,18,2015-06-11,2015-06-22
인천광역시,강화군,양도면,제한급수,130,2015-06-11,2015-07-13
경기도,가평군,청평면,운반급수,174,2015-06-12,2015-07-06
전라북도,임실군,강진면,운반급수,24,2015-06-12,2015-06-15
